Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
88,1.1725,0.0211,1.1514,12.17412502,9.61376667,-3.01324129,12.05244746,9.55009365,-3.5091784,0.67768595,0.67592768
89,1.144,0.0201,1.1239,11.34072911,8.94013405,1.37122798,11.29478121,8.89358902,0.64970708,0.69081186,0.68810594
90,1.1144,0.02,1.0944,11.13192533,8.7456007,1.43962383,11.02281701,8.65287685,1.07620633,0.69470102,0.6963932
91,1.1082,0.0176,1.0905,11.4157909,8.90371609,-0.07223436,11.56030979,9.02801037,-0.74429196,0.6966456,0.69553398
92,1.0587,0.0177,1.041,11.14436421,8.67541504,-1.67652202,11.05384687,8.66689301,-0.94931,0.71317453,0.70913296
93,1.0963,0.0181,1.0782,11.09091589,8.59233189,-1.36617911,11.05514299,8.5621109,-0.05509272,0.69859018,0.69717132
94,1.0894,0.0187,1.0708,11.35088567,8.85309982,0.64296669,11.50284641,9.18405151,-1.88389206,0.68838114,0.68393874
95,1.0674,0.019,1.0484,11.70245286,9.29145718,-3.10021544,10.58971047,8.3241787,-1.1072818,0.70928537,0.70846415
96,1.0472,0.0172,1.03,11.23383407,8.91079998,-2.20624876,10.86774913,8.39352512,-0.75368679,0.70831308,0.70494926
97,1.0531,0.0186,1.0345,10.90972128,8.42290974,2.35911345,10.64620686,8.24596882,2.07508802,0.71657754,0.71548723
98,1.0517,0.0184,1.0333,10.66170883,8.31746387,-1.79955006,10.39832231,8.10504913,-0.62601429,0.70928537,0.70780776
99,1.0608,0.0184,1.0425,10.48419053,8.01535511,1.16504025,10.3215821,7.97540903,1.00088584,0.76081672,0.75773246
100,1.016,0.0181,0.9979,9.96071614,7.61425638,-0.37506261,10.06330442,7.76933098,-1.07546091,0.7540107,0.75143004
