Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
efficientnet_b0,1,2.0788983,0.05501971,2.02387859,15.85166598,12.36673164,-1.95826459,15.09983915,11.96141624,-0.7363432,0.54788527,0.52782378,410.9
efficientnet_b0,2,1.35448574,0.02313878,1.33134696,11.97803522,9.29066372,-1.88315666,12.25466394,9.61104679,-1.62585294,0.72532815,0.71588311,405.1
efficientnet_b0,3,1.03568905,0.01864055,1.0170485,10.70517701,8.39822292,-0.10487494,10.71399817,8.43496704,0.7287035,0.75935829,0.75505549,391.9
efficientnet_b0,4,0.84577152,0.01394974,0.83182178,10.35776421,8.03094482,-0.03178012,10.81154139,8.4323082,0.05278734,0.84346135,0.84138277,382.6
efficientnet_b0,5,0.71588884,0.01244605,0.70344279,9.12671008,7.05313683,1.03948259,9.40326834,7.31105137,0.85181504,0.87360233,0.87341681,380.8
efficientnet_b0,6,0.6359385,0.01165678,0.62428172,9.19721108,6.99740362,1.69627762,9.17631712,7.06987906,1.64859772,0.89693729,0.89723702,392.6
efficientnet_b0,7,0.57662132,0.01106143,0.56555988,9.32412997,6.82335186,1.29645681,9.56591975,7.1581111,1.7800101,0.89547885,0.89448054,387.1
efficientnet_b0,8,0.50607194,0.00969041,0.49638153,8.99030375,6.89557552,1.49895096,8.47446601,6.58216238,0.73576093,0.92513369,0.92542,422.4
efficientnet_b0,9,0.45707019,0.00836407,0.44870612,8.84423439,6.54042578,2.74157619,8.6878078,6.63129234,2.71258998,0.92999514,0.93059638,418.9
efficientnet_b0,10,0.41001469,0.00762897,0.40238572,7.42350517,5.58668137,0.7906301,7.85575404,5.978302,2.44770622,0.93534273,0.93571886,413.6
efficientnet_b0,11,0.35790777,0.00727809,0.35062969,8.15532436,6.2895875,2.50305891,9.14225246,7.04933119,3.53585601,0.94263491,0.94316905,398.8
efficientnet_b0,12,0.36212527,0.00690823,0.35521704,7.66024041,5.79502392,0.38437402,8.11145769,6.07413197,1.25126159,0.93534273,0.9353428,394.6
efficientnet_b0,13,0.31840545,0.00682028,0.31158516,7.39044667,5.36692238,1.01252019,7.62888775,5.66376257,0.90381724,0.94360719,0.94426972,411.3
efficientnet_b0,14,0.30852627,0.00650643,0.30201984,9.73005632,7.4549942,3.80710673,9.4850897,7.20686865,4.4296422,0.94749635,0.94758478,422.6
efficientnet_b0,15,0.30846426,0.00636334,0.30210092,7.19574934,5.45867491,0.66017216,7.52083694,5.83895969,0.0180674,0.94895479,0.94932262,419.8
efficientnet_b0,16,0.30612106,0.00632305,0.29979801,7.8805382,5.99503422,3.57611084,8.09973442,6.27521944,3.77957225,0.95138551,0.95133888,431.7
efficientnet_b0,17,0.27561746,0.00593945,0.26967801,6.53799455,4.93967485,0.84141088,6.78149667,5.14997721,0.40009034,0.94992708,0.95010135,398.0
efficientnet_b0,18,0.23967667,0.00572135,0.23395532,6.61792593,4.98768759,-0.17752106,7.0061779,5.37252331,0.37401044,0.95333009,0.95374986,398.9
efficientnet_b0,19,0.23006612,0.00566951,0.2243966,7.06639923,5.42382812,1.9119544,7.39882858,5.74556589,2.20204759,0.94944093,0.94939627,395.7
efficientnet_b0,20,0.24169273,0.00559058,0.23610215,6.05810797,4.63834095,-1.00783455,6.00068756,4.5927825,-0.0935263,0.95041322,0.95051579,411.2
efficientnet_b0,21,0.24201136,0.00516854,0.23684282,6.19051249,4.78940535,-0.27376342,6.55851697,5.06334877,-0.17368577,0.95721925,0.9576904,412.6
efficientnet_b0,22,0.21922503,0.00490999,0.21431505,6.2597574,4.65727711,1.25888681,6.64417041,5.00727034,2.13088012,0.95138551,0.95156036,417.6
efficientnet_b0,23,0.20266729,0.00462667,0.19804062,6.1024299,4.71181583,-0.77801257,6.15676645,4.7642169,-1.14404392,0.95721925,0.95735504,392.6
efficientnet_b0,24,0.1972613,0.00456357,0.19269774,6.52880989,4.94449711,0.40169764,6.70538619,5.09718132,1.27654195,0.95430238,0.95475176,391.3
efficientnet_b0,25,0.21322489,0.00471682,0.20850807,6.07349806,4.63377523,1.16243672,6.07926997,4.64054918,1.04398286,0.95673311,0.95722548,387.9
efficientnet_b0,26,0.22119538,0.00518856,0.21600683,5.73253101,4.32504177,1.08710539,6.30462972,4.81323004,2.22163033,0.95819154,0.95874338,393.8
efficientnet_b0,27,0.21911923,0.00456537,0.21455386,6.27144575,4.80077744,-0.72044402,6.1959476,4.74365187,-0.54528254,0.94457948,0.94450577,389.6
efficientnet_b0,28,0.1858653,0.00460157,0.18126373,6.32002369,4.7745285,2.01414537,6.54468786,4.96670437,2.12493014,0.9577054,0.95776168,388.1
efficientnet_b0,29,0.17557307,0.00439689,0.17117618,7.64852428,5.92407513,4.24957275,8.10951894,6.35350513,4.97478628,0.95041322,0.95097395,388.7
efficientnet_b0,30,0.21396313,0.0052021,0.20876104,6.90722677,5.13897991,2.40107656,7.73076235,5.73365211,3.56731606,0.95721925,0.95760587,389.2
efficientnet_b0,31,0.16592153,0.00455395,0.16136758,5.70659709,4.28256416,0.67517459,6.24173404,4.77981138,0.56084263,0.95916383,0.95923165,386.0
efficientnet_b0,32,0.16719125,0.00396614,0.16322511,5.8640307,4.38181734,1.28264093,6.062864,4.61385822,1.38357568,0.95721925,0.95759158,384.4
efficientnet_b0,33,0.16407516,0.00425475,0.15982042,7.34665911,5.65709209,3.77620339,7.57981165,5.87163067,3.85350347,0.96062227,0.96070271,385.3
efficientnet_b0,34,0.18941511,0.00435385,0.18506126,5.59068837,4.14603043,-0.04448788,5.95606582,4.4656148,0.86079895,0.95721925,0.95724973,387.5
efficientnet_b0,35,0.16663597,0.00407204,0.16256393,5.66688272,4.27895212,-0.32874531,5.90049083,4.47007275,0.14026342,0.95478853,0.95505155,387.9
efficientnet_b0,36,0.16254739,0.00411579,0.15843159,6.44803565,5.02678061,3.54187346,6.82068891,5.36814737,3.91772413,0.96110841,0.96118176,386.8
efficientnet_b0,37,0.15899191,0.00389862,0.15509328,5.1919588,3.92998695,1.02519596,5.53148051,4.23108578,1.04048896,0.95964998,0.95979399,386.0
efficientnet_b0,38,0.16720147,0.00390613,0.16329535,5.63228525,4.22906733,-1.23344481,5.79042538,4.36861134,-0.68064588,0.94992708,0.95008359,387.6
efficientnet_b0,39,0.18656621,0.00421202,0.1823542,5.16403443,3.81848025,0.53454298,5.41910625,4.13935709,-0.45173332,0.96013612,0.96026899,384.3
efficientnet_b0,40,0.15851437,0.00349646,0.15501791,5.97691322,4.53907394,2.10638118,6.56790026,4.96458054,2.99800277,0.96256684,0.96265373,385.5
